stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on,total_phosphorus
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100412,
RAJACANAL 40 MLD,2023-10-04 11:45:00,7.64,27.60,0.93,3.90,28.37,3.50,4.04,7.96,4.46,2023100412,
YELLAMALAPACHETTY 15 MLD,2023-10-04 11:45:00,7.3,27.05,0.54,2.16,61.23,2.11,8.10,5.56,1.10,2023100412,
BELLANDUR 90 MLD,2023-10-04 11:45:00,7.8,27.90,0.59,1.00,27.71,5.02,12.93,5.54,3.30,2023100412,
DODDABELE 20 MLD,2023-10-04 11:45:00,8.04,27.60,0.43,1.10,39.84,6.76,8.95,10.11,4.82,2023100412,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100412,
NAGASANDRA OLD 20 MLD,2023-10-04 11:45:00,7.65,26.80,2.29,3.43,411.57,0.00,365.26,0.00,1.10,2023100412,
4MLD Cubbon Park TTP,2023-10-04 11:45:00,7.11,28.50,0.50,4.73,17.31,1.23,0.91,5.02,2.00,2023100412,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100412,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100412,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100412,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.30,4.00,-,2023100412,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100412,
Mailasandra STP 75 MLD,2023-10-04 11:45:00,7.33,19.60,8.14,8.95,52.12,15.62,18.22,8.27,1.82,2023100412,
60 MLD V.Valley TTP,2023-10-04 11:45:00,7.01,26.80,1.53,3.67,20.50,0.80,3.71,5.36,3.77,2023100412,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100412,
1.5 MLD Lalbagh TTP,2023-10-04 11:45:00,7.05,31.20,0.13,0.70,17.72,1.31,0.92,0.07,0.01,2023100412,
35MLD Agaram STP,2023-10-04 11:45:00,6.83,26.50,0.22,0.90,28.00,4.78,1.21,6.15,-,2023100412,
Chikka_Bagur_5_MLD_STP,2023-10-03 20:22:00,7.38,27.30,-,-,-,-,-,-,-,2023100412,
Yelahanka 10MLD TTP,2023-10-04 12:15:00,7.06,25.00,1.03,6.18,53.10,10.90,4.90,10.59,1.40,2023100412,
40MLD OLD Rajacanal STP,2023-10-04 11:45:00,7.56,26.10,1.29,4.26,25.50,6.40,7.30,6.38,4.51,2023100412,
Hennur 1MLD TTP,2023-10-04 12:00:00,7.85,27.00,0.01,0.01,19.40,1.80,5.00,4.97,5.77,2023100412,
4_MLD_Madiwala_STP,2023-10-04 11:45:00,7.55,27.10,0.81,2.35,34.50,2.17,3.53,8.62,-,2023100412,
150MLD STP_K&C valley,2023-10-04 11:55:00,7.58,-,2.68,6.35,-,7.90,11.81,-,-,2023100412,
2MLD Ulsoor STP,2023-10-04 12:54:00,7.07,27.20,0.04,0.18,28.90,2.00,3.60,5.78,3.15,2023100413,
CHIKKABANAVARA 5 MLD,2023-10-04 12:45:00,7.26,24.80,0.44,2.80,27.42,4.50,4.44,11.31,3.52,2023100413,
KADUGODI 6 MLD STP,2023-10-04 12:45:00,7.66,28.40,0.30,3.89,44.59,11.45,11.27,38.43,1.50,2023100413,
HORAMAVU 20 MLD,2023-10-04 12:45:00,7.47,28.40,0.87,3.30,40.64,8.01,10.83,4.70,3.48,2023100413,
K AND C VALLEY 60 MLD,2023-10-04 12:45:00,6.68,28.20,0.60,4.20,56.70,9.24,38.75,8.97,4.98,2023100413,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100413,
RAJACANAL 40 MLD,2023-10-04 12:45:00,7.66,27.50,0.94,3.90,28.36,3.49,4.04,7.96,4.51,2023100413,
YELLAMALAPACHETTY 15 MLD,2023-10-04 12:45:00,7.44,27.56,0.55,2.20,62.09,2.06,8.12,5.51,1.09,2023100413,
BELLANDUR 90 MLD,2023-10-04 12:45:00,7.66,28.20,0.55,1.50,27.27,5.19,7.92,5.45,3.08,2023100413,
DODDABELE 20 MLD,2023-10-04 12:45:00,8.01,27.80,0.43,1.10,39.81,6.74,8.97,10.08,4.81,2023100413,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100413,
NAGASANDRA OLD 20 MLD,2023-10-04 12:45:00,7.68,26.90,2.20,3.30,402.23,0.04,367.79,0.00,1.09,2023100413,
4MLD Cubbon Park TTP,2023-10-04 13:00:00,7.09,28.50,0.49,4.73,17.31,1.23,0.91,5.02,1.96,2023100413,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100413,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100413,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100413,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.30,4.00,-,2023100413,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100413,
Mailasandra STP 75 MLD,2023-10-04 12:45:00,7.33,19.30,8.32,9.15,52.12,15.65,18.18,8.36,1.84,2023100413,
60 MLD V.Valley TTP,2023-10-04 12:45:00,7.01,27.00,1.54,3.70,20.42,0.84,3.63,5.15,4.22,2023100413,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100413,
1.5 MLD Lalbagh TTP,2023-10-04 12:45:00,7.02,32.40,0.13,0.65,17.72,1.31,0.92,-0.01,-0.01,2023100413,
35MLD Agaram STP,2023-10-04 13:00:00,6.99,26.50,0.28,1.15,28.66,4.89,1.54,6.29,-,2023100413,
Chikka_Bagur_5_MLD_STP,2023-10-03 20:22:00,7.38,27.30,-,-,-,-,-,-,-,2023100413,
Yelahanka 10MLD TTP,2023-10-04 13:30:00,7.06,25.00,1.07,6.36,52.80,10.80,4.80,10.57,1.39,2023100413,
40MLD OLD Rajacanal STP,2023-10-04 13:00:00,7.63,25.90,1.36,4.49,25.50,6.50,7.40,6.38,4.76,2023100413,
Hennur 1MLD TTP,2023-10-04 13:00:00,7.85,27.00,0.01,0.01,19.50,1.90,5.00,4.97,5.23,2023100413,
4_MLD_Madiwala_STP,2023-10-04 13:00:00,7.56,27.20,0.79,2.29,34.48,2.19,3.50,8.62,-,2023100413,
150MLD STP_K&C valley,2023-10-04 13:00:00,7.58,-,2.67,6.36,-,7.31,11.94,-,-,2023100413,
2MLD Ulsoor STP,2023-10-04 12:54:00,7.07,27.20,0.04,0.18,28.90,2.00,3.60,5.78,3.15,2023100414,
CHIKKABANAVARA 5 MLD,2023-10-04 13:45:00,7.27,24.90,0.44,2.80,27.38,4.52,4.43,11.22,3.52,2023100414,
KADUGODI 6 MLD STP,2023-10-04 13:45:00,7.68,28.70,0.30,4.00,44.71,11.43,11.72,37.97,1.50,2023100414,
HORAMAVU 20 MLD,2023-10-04 13:45:00,7.49,28.40,0.86,3.30,40.24,8.00,10.46,4.73,3.44,2023100414,
K AND C VALLEY 60 MLD,2023-10-04 13:45:00,6.69,28.20,0.60,4.30,40.61,9.54,16.74,9.65,4.98,2023100414,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100414,
RAJACANAL 40 MLD,2023-10-04 13:45:00,7.64,27.60,0.94,3.90,28.37,3.50,4.04,7.94,4.51,2023100414,
YELLAMALAPACHETTY 15 MLD,2023-10-04 13:45:00,7.43,27.52,0.55,2.20,19.79,2.05,8.13,5.53,1.09,2023100414,
BELLANDUR 90 MLD,2023-10-04 13:45:00,7.67,28.40,0.57,1.50,27.28,5.16,8.02,5.46,3.19,2023100414,
DODDABELE 20 MLD,2023-10-04 13:45:00,7.99,27.80,0.43,1.10,39.92,6.82,8.90,10.16,4.79,2023100414,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100414,
NAGASANDRA OLD 20 MLD,2023-10-04 13:45:00,7.66,27.10,2.24,3.36,493.36,0.00,468.60,0.00,1.09,2023100414,
4MLD Cubbon Park TTP,2023-10-04 14:00:00,7.07,28.50,0.49,4.73,17.32,1.23,0.92,5.02,1.96,2023100414,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100414,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100414,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100414,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.30,4.00,-,2023100414,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100414,
Mailasandra STP 75 MLD,2023-10-04 13:45:00,7.31,19.00,8.06,8.87,52.55,16.04,18.00,7.05,1.74,2023100414,
60 MLD V.Valley TTP,2023-10-04 13:30:00,7.01,27.00,1.54,3.70,20.42,0.87,3.62,5.26,3.89,2023100414,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100414,
1.5 MLD Lalbagh TTP,2023-10-04 13:45:00,6.99,32.40,0.13,0.65,17.73,1.31,0.92,0.05,0.05,2023100414,
35MLD Agaram STP,2023-10-04 14:00:00,6.99,26.90,0.25,1.02,28.66,4.89,1.38,6.29,-,2023100414,
Chikka_Bagur_5_MLD_STP,2023-10-03 20:22:00,7.38,27.30,-,-,-,-,-,-,-,2023100414,
Yelahanka 10MLD TTP,2023-10-04 14:30:00,7.06,25.00,1.06,6.42,52.80,10.80,4.90,10.57,1.39,2023100414,
40MLD OLD Rajacanal STP,2023-10-04 14:00:00,7.7,26.10,1.36,4.49,25.50,6.40,7.40,6.38,4.76,2023100414,
Hennur 1MLD TTP,2023-10-04 14:00:00,7.85,27.00,0.01,0.01,19.50,1.90,5.00,4.97,4.61,2023100414,
4_MLD_Madiwala_STP,2023-10-04 14:00:00,7.54,27.30,0.80,2.32,34.49,2.14,3.51,8.62,-,2023100414,
150MLD STP_K&C valley,2023-10-04 13:55:00,7.52,-,2.68,6.36,-,8.24,11.88,-,-,2023100414,
2MLD Ulsoor STP,2023-10-04 12:54:00,7.07,27.20,0.04,0.18,28.90,2.00,3.60,5.78,3.15,2023100415,
CHIKKABANAVARA 5 MLD,2023-10-04 14:30:00,7.26,24.90,0.45,2.80,27.36,4.53,4.43,11.32,3.60,2023100415,
KADUGODI 6 MLD STP,2023-10-04 14:30:00,7.62,28.40,0.30,4.03,44.62,11.44,11.36,38.45,1.50,2023100415,
HORAMAVU 20 MLD,2023-10-04 14:45:00,7.5,28.40,0.87,3.30,40.68,8.02,10.68,4.69,3.48,2023100415,
K AND C VALLEY 60 MLD,2023-10-04 14:45:00,6.71,28.10,0.60,4.30,42.12,9.48,18.36,9.40,4.98,2023100415,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100415,
RAJACANAL 40 MLD,2023-10-04 14:45:00,7.62,27.60,0.93,3.90,28.37,3.51,4.03,7.95,4.46,2023100415,
YELLAMALAPACHETTY 15 MLD,2023-10-04 14:45:00,7.47,27.66,0.55,2.21,21.06,2.08,8.14,5.54,1.08,2023100415,
BELLANDUR 90 MLD,2023-10-04 15:00:00,7.68,27.90,0.55,1.50,27.33,5.17,8.33,5.47,3.08,2023100415,
DODDABELE 20 MLD,2023-10-04 14:45:00,7.99,27.60,0.43,1.10,39.77,6.80,8.65,10.11,4.79,2023100415,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100415,
NAGASANDRA OLD 20 MLD,2023-10-04 14:45:00,7.61,27.10,2.34,3.51,467.46,0.00,455.18,0.00,1.09,2023100415,
4MLD Cubbon Park TTP,2023-10-04 15:00:00,7.07,28.50,0.50,4.73,17.32,1.23,0.92,5.02,2.00,2023100415,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100415,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100415,
KADABEESANAHALLI 50 MLD,2023-10-04 14:49:30,6.67,25.70,0.60,1.56,77.87,5.21,20.30,6.69,2.08,2023100415,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.30,4.00,-,2023100415,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100415,
Mailasandra STP 75 MLD,2023-10-04 14:45:00,7.33,18.90,7.82,8.60,52.45,15.92,18.05,7.17,1.71,2023100415,
60 MLD V.Valley TTP,2023-10-04 14:45:00,7.01,27.00,1.57,3.77,20.44,0.82,3.66,5.22,3.81,2023100415,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100415,
1.5 MLD Lalbagh TTP,2023-10-04 14:45:00,6.97,31.40,0.15,0.65,17.73,1.31,0.93,0.08,0.12,2023100415,
35MLD Agaram STP,2023-10-04 15:00:00,6.95,26.80,0.26,1.07,28.49,4.86,1.43,6.25,-,2023100415,
Chikka_Bagur_5_MLD_STP,2023-10-03 20:22:00,7.38,27.30,-,-,-,-,-,-,-,2023100415,
Yelahanka 10MLD TTP,2023-10-04 15:30:00,7.06,25.00,1.06,6.42,53.00,10.90,4.90,10.60,1.40,2023100415,
40MLD OLD Rajacanal STP,2023-10-04 15:00:00,7.63,25.90,1.33,4.39,25.50,6.50,7.40,6.38,4.66,2023100415,
Hennur 1MLD TTP,2023-10-04 15:00:00,7.86,27.00,0.01,0.01,19.40,1.90,5.00,4.97,4.26,2023100415,
4_MLD_Madiwala_STP,2023-10-04 14:45:00,7.61,27.40,0.75,2.17,34.49,2.34,3.50,8.62,-,2023100415,
150MLD STP_K&C valley,2023-10-04 14:55:00,7.54,-,2.68,6.37,-,7.71,11.88,-,-,2023100415,
2MLD Ulsoor STP,2023-10-04 12:54:00,7.07,27.20,0.04,0.18,28.90,2.00,3.60,5.78,3.15,2023100416,
CHIKKABANAVARA 5 MLD,2023-10-04 15:45:00,7.27,24.90,0.44,2.80,27.38,4.51,4.44,11.08,3.52,2023100416,
KADUGODI 6 MLD STP,2023-10-04 15:45:00,7.66,28.20,0.30,3.82,44.71,11.46,11.59,38.78,1.50,2023100416,
HORAMAVU 20 MLD,2023-10-04 15:45:00,7.47,28.30,0.86,3.30,42.63,8.01,12.16,4.17,3.44,2023100416,
K AND C VALLEY 60 MLD,2023-10-04 15:45:00,6.71,28.10,0.60,4.20,43.20,9.47,19.83,9.43,4.98,2023100416,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100416,
RAJACANAL 40 MLD,2023-10-04 15:45:00,7.63,27.40,0.90,3.90,28.38,3.50,4.04,7.92,4.32,2023100416,
YELLAMALAPACHETTY 15 MLD,2023-10-04 15:45:00,7.5,27.77,0.56,2.22,22.45,2.09,8.16,5.54,1.15,2023100416,
BELLANDUR 90 MLD,2023-10-04 15:45:00,7.69,27.70,0.55,1.50,27.32,5.17,8.29,5.46,3.08,2023100416,
DODDABELE 20 MLD,2023-10-04 15:45:00,7.99,27.70,0.43,1.10,39.48,6.80,8.19,10.14,4.79,2023100416,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100416,
NAGASANDRA OLD 20 MLD,2023-10-04 15:45:00,7.62,27.00,2.50,3.75,463.42,0.58,457.20,0.00,1.09,2023100416,
4MLD Cubbon Park TTP,2023-10-04 16:00:00,7.04,28.60,0.49,4.74,17.32,1.24,0.92,5.02,1.96,2023100416,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100416,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100416,
KADABEESANAHALLI 50 MLD,2023-10-04 15:45:00,6.79,25.80,0.60,2.55,45.07,8.49,8.00,7.38,3.40,2023100416,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.30,4.00,-,2023100416,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100416,
Mailasandra STP 75 MLD,2023-10-04 15:45:00,7.36,19.30,8.03,8.83,52.54,16.10,18.12,8.08,1.67,2023100416,
60 MLD V.Valley TTP,2023-10-04 15:45:00,7.01,27.00,1.57,3.77,20.45,0.84,3.66,5.20,3.80,2023100416,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100416,
1.5 MLD Lalbagh TTP,2023-10-04 15:45:00,6.94,30.10,0.17,0.82,17.73,1.31,0.93,0.33,0.22,2023100416,
35MLD Agaram STP,2023-10-04 16:00:00,6.86,26.70,0.26,1.07,28.13,4.80,1.43,6.17,-,2023100416,
Chikka_Bagur_5_MLD_STP,2023-10-03 20:22:00,7.38,27.30,-,-,-,-,-,-,-,2023100416,
Yelahanka 10MLD TTP,2023-10-04 16:30:00,7.06,25.00,1.06,6.36,52.90,10.80,4.80,10.58,1.40,2023100416,
40MLD OLD Rajacanal STP,2023-10-04 16:00:00,7.63,25.80,1.33,4.39,25.50,6.50,7.40,6.38,4.66,2023100416,
Hennur 1MLD TTP,2023-10-04 16:00:00,7.86,27.00,0.01,0.01,19.40,1.90,5.00,4.97,4.26,2023100416,
4_MLD_Madiwala_STP,2023-10-04 14:45:00,7.61,27.40,0.75,2.17,34.49,2.34,3.50,8.62,-,2023100416,
150MLD STP_K&C valley,2023-10-04 15:55:00,7.53,-,2.68,6.36,-,7.02,12.00,-,-,2023100416,
2MLD Ulsoor STP,2023-10-04 12:54:00,7.07,27.20,0.04,0.18,28.90,2.00,3.60,5.78,3.15,2023100417,
CHIKKABANAVARA 5 MLD,2023-10-04 16:45:00,7.28,24.90,0.45,2.80,27.39,4.52,4.44,11.27,3.60,2023100417,
KADUGODI 6 MLD STP,2023-10-04 16:45:00,7.62,28.30,0.30,3.84,44.69,11.47,11.32,38.73,1.50,2023100417,
HORAMAVU 20 MLD,2023-10-04 16:45:00,7.43,28.10,0.85,3.30,43.44,8.01,12.89,4.00,3.40,2023100417,
K AND C VALLEY 60 MLD,2023-10-04 16:45:00,6.71,28.00,0.60,4.20,48.81,9.35,26.51,8.68,4.98,2023100417,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100417,
RAJACANAL 40 MLD,2023-10-04 16:45:00,7.63,27.30,0.90,3.90,28.37,3.51,4.03,7.95,4.32,2023100417,
YELLAMALAPACHETTY 15 MLD,2023-10-04 16:45:00,7.52,27.84,0.56,2.23,29.81,2.13,8.32,5.56,1.06,2023100417,
BELLANDUR 90 MLD,2023-10-04 17:00:00,7.69,27.60,0.54,1.50,27.31,5.16,8.24,5.46,3.02,2023100417,
DODDABELE 20 MLD,2023-10-04 16:45:00,7.98,27.70,0.43,1.10,39.94,6.80,8.96,10.08,4.79,2023100417,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100417,
NAGASANDRA OLD 20 MLD,2023-10-04 16:45:00,7.66,27.10,2.40,3.60,537.18,0.00,518.84,0.00,1.09,2023100417,
4MLD Cubbon Park TTP,2023-10-04 17:00:00,7.05,28.50,0.49,4.74,17.33,1.24,0.92,5.03,1.96,2023100417,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100417,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100417,
KADABEESANAHALLI 50 MLD,2023-10-04 17:00:00,6.78,25.70,0.60,2.55,45.20,8.50,8.03,7.29,3.40,2023100417,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.30,4.00,-,2023100417,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100417,
Mailasandra STP 75 MLD,2023-10-04 16:45:00,7.34,19.10,8.08,8.89,52.86,16.42,18.03,6.72,1.80,2023100417,
60 MLD V.Valley TTP,2023-10-04 16:30:00,7.01,27.10,1.56,3.74,20.55,0.95,3.85,5.15,3.91,2023100417,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100417,
1.5 MLD Lalbagh TTP,2023-10-04 16:45:00,6.95,29.50,0.17,0.85,17.73,1.31,0.92,0.43,0.33,2023100417,
35MLD Agaram STP,2023-10-04 17:00:00,6.88,26.70,0.28,1.15,28.21,4.82,1.54,6.19,-,2023100417,
Chikka_Bagur_5_MLD_STP,2023-10-03 20:22:00,7.38,27.30,-,-,-,-,-,-,-,2023100417,
Yelahanka 10MLD TTP,2023-10-04 17:30:00,7.06,25.00,1.05,6.36,52.80,10.80,4.90,10.58,1.39,2023100417,
40MLD OLD Rajacanal STP,2023-10-04 17:00:00,7.77,25.70,1.41,4.65,25.40,6.40,7.40,6.35,4.93,2023100417,
Hennur 1MLD TTP,2023-10-04 17:00:00,7.86,27.00,0.01,0.01,19.30,1.80,5.00,4.97,4.28,2023100417,
4_MLD_Madiwala_STP,2023-10-04 14:45:00,7.61,27.40,0.75,2.17,34.49,2.34,3.50,8.62,-,2023100417,
150MLD STP_K&C valley,2023-10-04 17:00:00,7.53,-,2.68,6.35,-,9.80,12.00,-,-,2023100417,
2MLD Ulsoor STP,2023-10-04 12:54:00,7.07,27.20,0.04,0.18,28.90,2.00,3.60,5.78,3.15,2023100418,
CHIKKABANAVARA 5 MLD,2023-10-04 17:45:00,7.26,24.90,0.45,2.80,27.45,4.53,4.44,11.08,3.60,2023100418,
KADUGODI 6 MLD STP,2023-10-04 17:45:00,7.63,28.20,0.30,3.98,44.91,11.47,12.01,38.82,1.50,2023100418,
HORAMAVU 20 MLD,2023-10-04 17:45:00,7.43,28.10,0.85,3.30,44.15,8.03,13.44,3.89,3.40,2023100418,
K AND C VALLEY 60 MLD,2023-10-04 17:45:00,6.73,27.90,0.59,4.20,44.70,9.52,21.14,9.12,4.90,2023100418,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100418,
RAJACANAL 40 MLD,2023-10-04 17:45:00,7.63,27.20,0.91,3.90,28.39,3.51,4.06,7.97,4.37,2023100418,
YELLAMALAPACHETTY 15 MLD,2023-10-04 17:45:00,7.54,27.91,0.56,2.23,63.72,2.27,9.28,5.67,1.09,2023100418,
BELLANDUR 90 MLD,2023-10-04 18:00:00,7.69,27.40,0.53,1.60,27.32,5.14,8.27,5.46,2.97,2023100418,
DODDABELE 20 MLD,2023-10-04 17:45:00,7.95,27.60,0.42,1.10,39.77,6.82,8.62,10.12,4.77,2023100418,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100418,
NAGASANDRA OLD 20 MLD,2023-10-04 17:45:00,7.66,27.10,2.22,3.33,516.52,0.70,509.65,0.00,1.09,2023100418,
4MLD Cubbon Park TTP,2023-10-04 18:00:00,7.03,28.60,0.49,4.73,17.31,1.23,0.91,5.02,1.96,2023100418,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100418,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.00,0.00,-,-,2023100418,
KADABEESANAHALLI 50 MLD,2023-10-04 17:45:00,6.78,25.70,0.60,2.55,45.41,8.51,8.10,7.26,3.40,2023100418,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.30,4.00,-,2023100418,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100418,
Mailasandra STP 75 MLD,2023-10-04 17:45:00,7.31,18.80,7.72,8.49,53.04,16.62,17.95,6.44,1.74,2023100418,
60 MLD V.Valley TTP,2023-10-04 17:45:00,7.01,27.10,1.56,3.74,20.51,0.84,3.73,5.26,4.09,2023100418,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100418,
1.5 MLD Lalbagh TTP,2023-10-04 17:45:00,6.95,28.80,0.18,0.82,17.72,1.31,0.92,0.47,0.32,2023100418,
35MLD Agaram STP,2023-10-04 18:00:00,6.79,26.60,0.27,1.11,27.84,4.75,1.49,6.11,-,2023100418,
Chikka_Bagur_5_MLD_STP,2023-10-03 20:22:00,7.38,27.30,-,-,-,-,-,-,-,2023100418,
Yelahanka 10MLD TTP,2023-10-04 18:30:00,7.06,25.00,1.06,6.36,52.90,10.80,4.80,10.58,1.40,2023100418,
40MLD OLD Rajacanal STP,2023-10-04 18:00:00,7.76,25.70,1.42,4.69,25.50,6.40,7.40,6.38,4.97,2023100418,
Hennur 1MLD TTP,2023-10-04 18:00:00,7.86,27.00,0.01,0.01,19.30,1.80,5.00,4.97,4.32,2023100418,
4_MLD_Madiwala_STP,2023-10-04 14:45:00,7.61,27.40,0.75,2.17,34.49,2.34,3.50,8.62,-,2023100418,
150MLD STP_K&C valley,2023-10-04 18:00:00,7.41,-,2.68,6.34,-,7.31,12.06,-,-,2023100418,
2MLD Ulsoor STP,2023-10-04 12:54:00,7.07,27.20,0.04,0.18,28.90,2.00,3.60,5.78,3.15,2023100419,-
CHIKKABANAVARA 5 MLD,2023-10-04 18:45:00,7.39,24.90,0.44,2.90,27.28,4.48,4.42,10.94,3.52,2023100419,-
KADUGODI 6 MLD STP,2023-10-04 18:45:00,7.67,28.20,0.30,3.86,44.56,11.46,11.03,39.65,1.50,2023100419,-
HORAMAVU 20 MLD,2023-10-04 18:45:00,7.44,28.10,0.85,3.20,43.87,8.01,13.20,4.00,3.40,2023100419,-
K AND C VALLEY 60 MLD,2023-10-04 18:45:00,6.74,27.80,0.59,4.20,45.87,9.56,22.50,9.32,4.90,2023100419,-
