stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on
RAJACANAL 40 MLD,2023-11-10 21:45:00,7.59,26.30,0.81,4.2,29.38,3.55,5.47,8.01,3.89,-,2023111022
YELLAMALAPACHETTY 15 MLD,2023-11-10 22:00:00,7.31,27.09,0.54,2.17,22.42,4.17,1.74,4.56,1.43,-,2023111022
BELLANDUR 90 MLD,2023-11-10 21:45:00,7.86,26.50,0.54,1.5,27.89,5.02,13.05,5.58,3.02,-,2023111022
DODDABELE 20 MLD,2023-11-10 21:45:00,6.96,26.70,0.81,2.9,38.78,6.39,6.62,10.92,4.18,-,2023111022
NAGASANDRA OLD 20 MLD,2023-11-10 21:45:00,7.89,23.90,2.63,3.95,315.60,5.4,310.69,2.16,4.18,-,2023111022
4MLD Cubbon Park TTP,2023-11-10 22:00:00,7.33,27.80,0.54,4.76,17.30,1.26,0.9,5.02,2.16,-,2023111022
KADABEESANAHALLI 50 MLD,2023-11-10 22:00:00,6.72,24.10,0.59,2.66,65.70,5.91,12.37,22.90,2.36,-,2023111022
STP Sarakki 5 MLD,2023-11-10 21:45:00,7.88,27.30,1.13,2.26,18.79,4.92,5.77,3.76,-,-,2023111022
Mailasandra STP 75 MLD,2023-11-10 22:00:00,7.56,23.10,7.66,13.79,47.87,11.21,18.87,13.59,2.42,-,2023111022
60 MLD V.Valley TTP,2023-11-10 21:45:00,6.81,25.70,0.8,1.92,20.12,2.13,3.07,5.10,1.96,-,2023111022
KR Puram STP 20 MLD,2023-11-10 22:00:00,6.94,25.10,1.71,3.42,49.65,3.24,27.06,6.95,3.66,-,2023111022
1.5 MLD Lalbagh TTP,2023-11-01 12:45:00,7.37,32.50,0.56,2.75,18.38,1.57,1.39,-1.34,-0.90,-,2023111022
35MLD Agaram STP,2023-11-10 22:00:00,7.16,25.40,0.07,0.29,29.36,5.01,0.38,6.44,-,-,2023111022
Chikka_Bagur_5_MLD_STP,2023-11-10 22:00:00,7.74,27.20,4.79,9.6,46.30,4.6,15.0,9.20,-,-,2023111022
Yelahanka 10MLD TTP,2023-11-10 22:00:00,7.07,25.20,0.61,1.5,32.90,4.4,4.1,6.58,3.13,0.21,2023111022
40MLD OLD Rajacanal STP,2023-11-10 22:00:00,7.66,24.40,0.02,0.07,25.70,6.5,7.4,6.43,0.07,0.01,2023111022
Hennur 1MLD TTP,2023-11-10 21:30:00,7.46,26.80,1.61,2.41,20.10,2.3,4.9,5.01,4.05,0.32,2023111022
4_MLD_Madiwala_STP,2023-11-10 22:00:00,7.66,25.10,3.1,8.99,34.24,1.85,3.55,8.56,-,-,2023111022
150MLD STP_K&C valley,2023-11-10 21:55:00,7.7,-,2.14,4.22,-,9.64,8.5,-,-,0.69,2023111022
2MLD Ulsoor STP,2023-11-10 22:45:00,7.1,26.60,0.52,2.6,25.97,3.64,4.16,5.19,3.71,-,2023111023
CHIKKABANAVARA 5 MLD,2023-11-10 22:45:00,7.23,22.80,0.38,2.7,28.15,4.44,4.51,11.54,3.04,-,2023111023
KADUGODI 6 MLD STP,2023-11-10 22:45:00,7.64,27.70,1.1,4.61,41.73,10.66,10.75,39.65,5.50,-,2023111023
HORAMAVU 20 MLD,2023-11-10 23:00:00,7.71,27.90,0.96,2.8,37.79,7.89,9.53,5.15,3.84,-,2023111023
K AND C VALLEY 60 MLD,2023-11-10 22:45:00,6.69,26.90,0.62,4.0,36.43,10.16,9.92,9.48,5.15,-,2023111023
NAGASANDRA 20 MLD,2023-11-10 22:45:00,7.75,25.20,0.63,2.52,108.97,17.82,18.74,11.73,3.79,-,2023111023
RAJACANAL 40 MLD,2023-11-10 22:45:00,7.6,26.30,0.81,4.2,29.35,3.56,5.33,8.05,3.89,-,2023111023
YELLAMALAPACHETTY 15 MLD,2023-11-10 23:00:00,7.31,27.07,0.54,2.17,23.81,4.2,1.74,4.56,2.77,-,2023111023
BELLANDUR 90 MLD,2023-11-10 22:45:00,7.86,26.40,0.54,1.5,27.91,5.09,13.43,5.58,3.02,-,2023111023
DODDABELE 20 MLD,2023-11-10 22:45:00,6.99,26.50,0.8,2.9,39.01,6.48,6.68,10.87,4.19,-,2023111023
NAGASANDRA OLD 20 MLD,2023-11-10 22:45:00,7.73,24.00,2.41,3.62,349.15,4.6,340.32,0.00,3.96,-,2023111023
4MLD Cubbon Park TTP,2023-11-10 23:00:00,7.22,27.70,0.52,4.72,17.29,1.22,0.9,5.01,2.08,-,2023111023
KADABEESANAHALLI 50 MLD,2023-11-10 23:00:00,6.73,23.90,0.59,2.64,65.67,5.87,12.41,22.59,2.35,-,2023111023
STP Sarakki 5 MLD,2023-11-10 22:45:00,7.88,27.30,1.13,2.26,18.79,4.92,5.77,3.76,-,-,2023111023
Mailasandra STP 75 MLD,2023-11-10 23:00:00,7.53,23.00,7.85,14.13,49.07,13.11,19.12,13.59,1.08,-,2023111023
60 MLD V.Valley TTP,2023-11-10 22:30:00,6.81,25.70,0.8,1.92,20.11,2.12,3.07,5.09,1.60,-,2023111023
KR Puram STP 20 MLD,2023-11-10 23:00:00,6.95,25.10,1.67,3.34,49.06,5.76,20.99,6.87,3.66,-,2023111023
1.5 MLD Lalbagh TTP,2023-11-01 12:45:00,7.37,32.50,0.56,2.75,18.38,1.57,1.39,-1.34,-0.90,-,2023111023
35MLD Agaram STP,2023-11-10 23:00:00,7.19,25.50,0.07,0.29,29.48,5.03,0.38,6.47,-,-,2023111023
Chikka_Bagur_5_MLD_STP,2023-11-10 23:00:00,7.61,27.20,4.83,9.7,46.30,5.1,14.9,10.20,-,-,2023111023
Yelahanka 10MLD TTP,2023-11-10 23:00:00,7.07,25.20,0.76,2.0,33.00,4.4,4.1,6.60,3.13,0.21,2023111023
40MLD OLD Rajacanal STP,2023-11-10 23:00:00,7.68,24.40,0.02,0.07,25.70,6.5,7.4,6.43,0.07,0.01,2023111023
Hennur 1MLD TTP,2023-11-10 21:30:00,7.46,26.80,1.61,2.41,20.10,2.3,4.9,5.01,4.05,0.32,2023111023
4_MLD_Madiwala_STP,2023-11-10 23:00:00,7.67,25.10,3.18,9.22,34.24,1.91,3.54,8.56,-,-,2023111023
150MLD STP_K&C valley,2023-11-10 22:55:00,7.98,-,2.13,4.22,-,9.64,8.5,-,-,0.69,2023111023
2MLD Ulsoor STP,2023-11-10 22:45:00,7.1,26.60,0.52,2.6,25.97,3.64,4.16,5.19,3.71,-,2023111100
CHIKKABANAVARA 5 MLD,2023-11-10 23:45:00,7.27,22.80,0.38,2.7,28.15,4.44,4.51,11.60,3.04,-,2023111100
KADUGODI 6 MLD STP,2023-11-10 23:45:00,7.64,27.60,1.1,4.74,41.77,10.66,10.75,39.20,5.50,-,2023111100
HORAMAVU 20 MLD,2023-11-11 00:00:00,7.66,27.80,0.94,2.8,37.82,7.91,9.49,5.22,3.76,-,2023111100
K AND C VALLEY 60 MLD,2023-11-10 23:30:00,6.62,26.90,0.67,4.1,37.69,10.3,11.13,9.94,5.56,-,2023111100
NAGASANDRA 20 MLD,2023-11-10 23:45:00,7.82,24.90,0.64,2.56,111.56,18.78,19.04,12.05,3.72,-,2023111100
RAJACANAL 40 MLD,2023-11-10 23:45:00,7.6,26.30,0.81,4.2,29.37,3.56,5.35,8.04,3.89,-,2023111100
YELLAMALAPACHETTY 15 MLD,2023-11-11 00:00:00,7.28,26.96,0.54,2.16,22.86,4.2,1.7,4.56,2.32,-,2023111100
BELLANDUR 90 MLD,2023-11-10 23:45:00,7.86,26.40,0.54,1.5,27.92,5.01,13.76,5.58,3.02,-,2023111100
DODDABELE 20 MLD,2023-11-10 23:45:00,7.01,26.50,0.8,2.9,39.01,6.48,6.67,10.85,4.21,-,2023111100
NAGASANDRA OLD 20 MLD,2023-11-10 23:45:00,8.39,20.50,0.73,1.1,426.99,1.32,424.83,0.00,4.17,-,2023111100
4MLD Cubbon Park TTP,2023-11-11 00:00:00,7.26,27.80,0.51,4.71,17.28,1.21,0.89,5.01,2.04,-,2023111100
KADABEESANAHALLI 50 MLD,2023-11-11 00:00:00,6.72,24.20,0.59,2.66,65.71,5.92,12.39,22.76,2.37,-,2023111100
STP Sarakki 5 MLD,2023-11-10 23:30:00,7.88,27.30,1.11,2.22,18.79,4.92,5.77,3.76,-,-,2023111100
Mailasandra STP 75 MLD,2023-11-11 00:00:00,7.48,22.90,7.86,14.16,49.15,13.17,19.02,13.43,-0.30,-,2023111100
60 MLD V.Valley TTP,2023-11-10 23:45:00,6.81,25.60,0.8,1.92,20.13,2.1,3.09,5.08,1.50,-,2023111100
KR Puram STP 20 MLD,2023-11-10 23:45:00,6.95,25.10,1.62,3.24,49.21,5.42,21.68,6.89,3.66,-,2023111100
1.5 MLD Lalbagh TTP,2023-11-01 12:45:00,7.37,32.50,0.56,2.75,18.38,1.57,1.39,-1.34,-0.90,-,2023111100
35MLD Agaram STP,2023-11-11 00:00:00,7.19,25.50,0.05,0.2,29.48,5.03,0.28,6.47,-,-,2023111100
Chikka_Bagur_5_MLD_STP,2023-11-11 00:00:00,7.78,27.30,4.87,9.7,45.90,5.1,14.4,10.20,-,-,2023111100
Yelahanka 10MLD TTP,2023-11-11 00:00:00,7.08,25.20,0.82,2.25,33.00,4.4,4.0,6.60,3.13,0.21,2023111100
40MLD OLD Rajacanal STP,2023-11-11 00:00:00,7.68,24.40,0.02,0.07,25.70,6.5,7.4,6.43,0.07,0.01,2023111100
Hennur 1MLD TTP,2023-11-10 21:30:00,7.46,26.80,1.61,2.41,20.10,2.3,4.9,5.01,4.05,0.32,2023111100
4_MLD_Madiwala_STP,2023-11-11 00:00:00,7.67,25.00,3.21,9.31,34.23,1.76,3.55,8.56,-,-,2023111100
150MLD STP_K&C valley,2023-11-10 23:55:00,7.88,-,2.13,4.22,-,9.64,8.5,-,-,0.69,2023111100
2MLD Ulsoor STP,2023-11-11 00:15:00,7.1,26.50,0.53,2.65,25.34,3.55,4.05,5.07,3.62,-,2023111101
CHIKKABANAVARA 5 MLD,2023-11-11 00:45:00,7.28,22.80,0.38,2.7,28.17,4.44,4.51,11.65,3.04,-,2023111101
KADUGODI 6 MLD STP,2023-11-11 00:45:00,7.6,27.60,1.1,4.74,41.71,10.66,10.64,39.75,5.50,-,2023111101
HORAMAVU 20 MLD,2023-11-11 01:00:00,7.66,28.20,0.96,2.8,37.85,7.89,9.54,5.12,3.84,-,2023111101
K AND C VALLEY 60 MLD,2023-11-11 00:45:00,6.71,26.90,0.69,4.0,37.30,10.16,10.51,9.57,5.73,-,2023111101
NAGASANDRA 20 MLD,2023-11-11 00:45:00,7.76,25.30,0.63,2.52,109.61,17.27,19.47,11.60,3.78,-,2023111101
RAJACANAL 40 MLD,2023-11-11 00:45:00,7.59,26.20,0.81,4.2,29.39,3.56,5.41,8.02,3.89,-,2023111101
YELLAMALAPACHETTY 15 MLD,2023-11-11 01:00:00,7.29,26.99,0.54,2.16,36.53,4.23,2.03,4.60,2.47,-,2023111101
BELLANDUR 90 MLD,2023-11-11 00:45:00,7.86,26.40,0.53,1.5,27.84,5.13,12.71,5.57,2.97,-,2023111101
DODDABELE 20 MLD,2023-11-11 00:45:00,7.02,26.40,0.8,2.9,38.99,6.49,6.66,10.93,4.21,-,2023111101
NAGASANDRA OLD 20 MLD,2023-11-11 00:45:00,8.5,19.80,0.71,1.06,450.58,0.0,449.24,0.00,4.32,-,2023111101
4MLD Cubbon Park TTP,2023-11-11 01:00:00,7.26,27.70,0.52,4.72,17.29,1.22,0.91,5.01,2.08,-,2023111101
KADABEESANAHALLI 50 MLD,2023-11-11 01:00:00,6.72,24.10,0.59,2.67,65.86,5.94,12.5,22.90,2.38,-,2023111101
STP Sarakki 5 MLD,2023-11-11 00:45:00,7.86,27.20,1.15,2.3,18.78,4.92,5.77,3.76,-,-,2023111101
Mailasandra STP 75 MLD,2023-11-11 00:45:00,7.46,22.90,7.86,14.15,49.12,13.15,19.0,13.02,-0.41,-,2023111101
60 MLD V.Valley TTP,2023-11-11 00:30:00,6.82,25.60,0.8,1.92,20.11,2.11,3.07,5.06,1.50,-,2023111101
KR Puram STP 20 MLD,2023-11-11 01:00:00,6.96,25.00,1.59,3.18,49.36,5.25,22.69,6.91,3.67,-,2023111101
1.5 MLD Lalbagh TTP,2023-11-01 12:45:00,7.37,32.50,0.56,2.75,18.38,1.57,1.39,-1.34,-0.90,-,2023111101
35MLD Agaram STP,2023-11-11 01:00:00,7.18,25.40,0.06,0.25,29.44,5.03,0.33,6.46,-,-,2023111101
Chikka_Bagur_5_MLD_STP,2023-11-11 01:00:00,7.69,27.20,4.73,9.5,45.60,4.8,14.4,9.60,-,-,2023111101
Yelahanka 10MLD TTP,2023-11-11 01:00:00,7.09,25.20,0.85,2.37,32.90,4.4,4.0,6.60,3.13,0.21,2023111101
40MLD OLD Rajacanal STP,2023-11-11 01:00:00,7.69,24.30,0.02,0.07,25.70,6.5,7.3,6.43,0.07,0.01,2023111101
Hennur 1MLD TTP,2023-11-10 21:30:00,7.46,26.80,1.61,2.41,20.10,2.3,4.9,5.01,4.05,0.32,2023111101
4_MLD_Madiwala_STP,2023-11-11 01:00:00,7.67,24.90,3.16,9.16,34.24,1.82,3.57,8.56,-,-,2023111101
150MLD STP_K&C valley,2023-11-11 01:00:00,8.02,-,2.13,4.22,-,9.64,8.5,-,-,0.69,2023111101
2MLD Ulsoor STP,2023-11-11 01:45:00,7.09,26.40,0.52,2.6,24.22,3.39,3.88,4.84,3.46,-,2023111102
CHIKKABANAVARA 5 MLD,2023-11-11 01:45:00,7.25,22.80,0.37,2.7,28.16,4.43,4.51,11.48,2.96,-,2023111102
KADUGODI 6 MLD STP,2023-11-11 01:45:00,7.7,27.60,1.1,4.62,41.63,10.65,10.6,39.37,5.50,-,2023111102
HORAMAVU 20 MLD,2023-11-11 02:00:00,7.66,27.90,0.96,2.8,37.91,7.9,9.62,5.22,3.84,-,2023111102
K AND C VALLEY 60 MLD,2023-11-11 01:45:00,6.72,26.90,0.68,4.0,37.29,10.19,10.44,9.81,5.64,-,2023111102
NAGASANDRA 20 MLD,2023-11-11 01:45:00,7.76,25.10,0.64,2.56,107.83,17.21,18.83,11.30,3.78,-,2023111102
RAJACANAL 40 MLD,2023-11-11 01:45:00,7.58,26.20,0.8,4.2,29.37,3.56,5.4,8.00,3.84,-,2023111102
YELLAMALAPACHETTY 15 MLD,2023-11-11 02:00:00,7.3,27.02,0.54,2.16,34.76,4.23,1.97,4.59,1.34,-,2023111102
BELLANDUR 90 MLD,2023-11-11 01:45:00,7.86,26.40,0.53,1.5,27.85,5.08,12.86,5.57,2.97,-,2023111102
DODDABELE 20 MLD,2023-11-11 01:45:00,7.02,26.40,0.8,2.9,39.01,6.47,6.72,10.86,4.21,-,2023111102
NAGASANDRA OLD 20 MLD,2023-11-11 01:45:00,8.46,19.70,0.8,1.2,495.94,0.0,490.2,0.00,4.34,-,2023111102
4MLD Cubbon Park TTP,2023-11-11 02:00:00,7.28,27.70,0.52,4.71,17.28,1.21,0.9,5.01,2.08,-,2023111102
KADABEESANAHALLI 50 MLD,2023-11-11 02:00:00,6.72,24.00,0.59,2.67,65.91,5.93,12.53,23.00,2.37,-,2023111102
STP Sarakki 5 MLD,2023-11-11 01:45:00,7.93,27.20,1.14,2.28,18.78,4.91,5.76,3.76,-,-,2023111102
Mailasandra STP 75 MLD,2023-11-11 02:00:00,7.47,22.70,7.86,14.15,49.15,13.27,19.09,14.16,-0.45,-,2023111102
60 MLD V.Valley TTP,2023-11-11 01:45:00,6.82,25.50,0.8,1.92,20.11,2.12,3.06,5.08,1.46,-,2023111102
KR Puram STP 20 MLD,2023-11-11 02:00:00,6.97,24.90,1.54,3.08,49.60,5.52,23.73,6.94,3.67,-,2023111102
1.5 MLD Lalbagh TTP,2023-11-01 12:45:00,7.37,32.50,0.56,2.75,18.38,1.57,1.39,-1.34,-0.90,-,2023111102
35MLD Agaram STP,2023-11-11 01:45:00,7.17,25.40,0.03,0.12,29.40,5.02,0.16,6.45,-,-,2023111102
Chikka_Bagur_5_MLD_STP,2023-11-11 02:00:00,7.66,27.10,5.02,10.0,46.00,5.1,14.6,10.20,-,-,2023111102
Yelahanka 10MLD TTP,2023-11-11 02:00:00,7.09,25.20,0.84,2.38,32.90,4.3,4.0,6.60,3.12,0.21,2023111102
40MLD OLD Rajacanal STP,2023-11-11 02:00:00,7.69,24.30,0.02,0.07,25.70,6.5,7.4,6.43,0.07,0.01,2023111102
Hennur 1MLD TTP,2023-11-10 21:30:00,7.46,26.80,1.61,2.41,20.10,2.3,4.9,5.01,4.05,0.32,2023111102
4_MLD_Madiwala_STP,2023-11-11 02:00:00,7.68,24.90,3.19,9.25,34.24,1.86,3.56,8.56,-,-,2023111102
150MLD STP_K&C valley,2023-11-11 02:00:00,8.02,-,2.13,4.22,-,9.64,8.5,-,-,0.70,2023111102
2MLD Ulsoor STP,2023-11-11 01:45:00,7.09,26.40,0.52,2.6,24.22,3.39,3.88,4.84,3.46,-,2023111103
CHIKKABANAVARA 5 MLD,2023-11-11 02:45:00,7.25,22.70,0.37,2.7,28.17,4.43,4.51,11.47,2.96,-,2023111103
KADUGODI 6 MLD STP,2023-11-11 02:45:00,7.71,27.50,1.1,4.61,41.70,10.66,10.64,39.43,5.50,-,2023111103
HORAMAVU 20 MLD,2023-11-11 03:00:00,7.66,27.90,0.95,2.8,37.86,7.9,9.54,5.16,3.80,-,2023111103
K AND C VALLEY 60 MLD,2023-11-11 02:45:00,6.72,26.90,0.67,4.0,37.19,10.18,10.27,9.74,5.56,-,2023111103
NAGASANDRA 20 MLD,2023-11-11 02:45:00,7.76,25.20,0.63,2.52,109.27,17.58,18.96,11.47,3.78,-,2023111103
RAJACANAL 40 MLD,2023-11-11 02:45:00,7.57,26.20,0.8,4.2,29.37,3.56,5.39,8.04,3.84,-,2023111103
YELLAMALAPACHETTY 15 MLD,2023-11-11 03:00:00,7.25,26.85,0.54,2.15,81.55,4.27,3.45,4.68,2.60,-,2023111103
BELLANDUR 90 MLD,2023-11-11 02:45:00,7.86,26.30,0.53,1.6,27.91,5.09,13.15,5.58,2.97,-,2023111103
DODDABELE 20 MLD,2023-11-11 02:45:00,7.04,26.30,0.79,2.9,38.98,6.46,6.64,10.82,4.22,-,2023111103
NAGASANDRA OLD 20 MLD,2023-11-11 02:45:00,8.49,19.00,0.31,0.47,523.10,0.0,524.51,0.00,4.36,-,2023111103
4MLD Cubbon Park TTP,2023-11-11 03:00:00,7.29,27.70,0.52,4.71,17.29,1.21,0.91,5.01,2.08,-,2023111103
KADABEESANAHALLI 50 MLD,2023-11-11 03:00:00,6.72,23.70,0.59,2.66,65.95,5.91,12.54,22.84,2.36,-,2023111103
STP Sarakki 5 MLD,2023-11-11 02:45:00,7.93,27.20,1.14,2.28,18.78,4.91,5.77,3.76,-,-,2023111103
Mailasandra STP 75 MLD,2023-11-11 02:45:00,7.46,22.60,7.86,14.15,49.13,13.24,19.05,13.36,-0.46,-,2023111103
60 MLD V.Valley TTP,2023-11-11 02:30:00,6.82,25.50,0.8,1.92,20.11,2.13,3.06,5.09,1.46,-,2023111103
KR Puram STP 20 MLD,2023-11-11 03:00:00,6.98,24.80,1.55,3.1,50.01,4.73,26.82,7.00,3.67,-,2023111103
1.5 MLD Lalbagh TTP,2023-11-01 12:45:00,7.37,32.50,0.56,2.75,18.38,1.57,1.39,-1.34,-0.90,-,2023111103
35MLD Agaram STP,2023-11-11 03:00:00,7.04,25.40,0.0,0.0,28.86,4.93,0.0,6.34,-,-,2023111103
Chikka_Bagur_5_MLD_STP,2023-11-11 03:00:00,7.78,27.20,4.92,9.8,47.30,4.5,16.7,9.00,-,-,2023111103
Yelahanka 10MLD TTP,2023-11-11 03:00:00,7.08,25.20,0.82,2.32,33.00,4.4,4.0,6.59,3.13,0.21,2023111103
40MLD OLD Rajacanal STP,2023-11-11 03:00:00,7.7,24.30,0.02,0.07,25.70,6.5,7.4,6.43,0.07,0.01,2023111103
Hennur 1MLD TTP,2023-11-10 21:30:00,7.46,26.80,1.61,2.41,20.10,2.3,4.9,5.01,4.05,0.32,2023111103
4_MLD_Madiwala_STP,2023-11-11 03:00:00,7.69,24.80,3.12,9.05,34.23,1.86,3.54,8.56,-,-,2023111103
150MLD STP_K&C valley,2023-11-11 02:55:00,8.02,-,2.13,4.22,-,9.64,8.5,-,-,0.70,2023111103
2MLD Ulsoor STP,2023-11-11 03:15:00,7.09,26.30,0.52,2.6,23.31,3.26,3.73,4.66,3.33,-,2023111104
CHIKKABANAVARA 5 MLD,2023-11-11 03:45:00,7.28,22.70,0.37,2.7,28.22,4.44,4.53,11.68,2.96,-,2023111104
KADUGODI 6 MLD STP,2023-11-11 03:45:00,7.69,27.60,1.1,4.61,41.71,10.66,10.57,39.14,5.50,-,2023111104
HORAMAVU 20 MLD,2023-11-11 04:00:00,7.64,27.70,0.95,2.8,37.79,7.92,9.49,5.27,3.80,-,2023111104
K AND C VALLEY 60 MLD,2023-11-11 03:45:00,6.72,26.90,0.66,4.0,37.31,10.21,10.41,9.86,5.48,-,2023111104
NAGASANDRA 20 MLD,2023-11-11 03:45:00,7.77,24.90,0.61,2.44,110.89,17.84,19.32,12.00,3.75,-,2023111104
RAJACANAL 40 MLD,2023-11-11 03:45:00,7.6,26.20,0.8,4.2,29.39,3.57,5.41,8.05,3.84,-,2023111104
YELLAMALAPACHETTY 15 MLD,2023-11-11 04:00:00,7.24,26.82,0.54,2.15,61.67,4.09,3.15,4.63,1.24,-,2023111104
BELLANDUR 90 MLD,2023-11-11 03:45:00,7.86,26.30,0.53,1.6,27.84,5.1,12.72,5.57,2.97,-,2023111104
DODDABELE 20 MLD,2023-11-11 03:45:00,7.05,26.20,0.79,2.9,39.00,6.47,6.7,10.89,4.23,-,2023111104
NAGASANDRA OLD 20 MLD,2023-11-11 03:45:00,8.44,18.50,0.24,0.36,549.88,0.0,546.29,0.00,4.36,-,2023111104
4MLD Cubbon Park TTP,2023-11-11 04:00:00,7.3,27.70,0.52,4.71,17.28,1.21,0.9,5.01,2.08,-,2023111104
KADABEESANAHALLI 50 MLD,2023-11-11 04:00:00,6.72,23.60,0.59,2.65,66.00,5.89,12.6,22.72,2.36,-,2023111104
STP Sarakki 5 MLD,2023-11-11 03:45:00,7.92,27.20,1.13,2.26,18.79,4.92,5.78,3.76,-,-,2023111104
Mailasandra STP 75 MLD,2023-11-11 04:00:00,7.47,22.50,7.87,14.16,49.17,13.46,19.14,12.64,-0.46,-,2023111104
60 MLD V.Valley TTP,2023-11-11 03:45:00,6.82,25.50,0.81,1.94,20.11,2.13,3.06,5.09,1.46,-,2023111104
KR Puram STP 20 MLD,2023-11-11 04:00:00,6.98,24.80,1.55,3.1,49.43,4.3,24.89,6.92,3.67,-,2023111104
1.5 MLD Lalbagh TTP,2023-11-01 12:45:00,7.37,32.50,0.56,2.75,18.38,1.57,1.39,-1.34,-0.90,-,2023111104
35MLD Agaram STP,2023-11-11 04:00:00,7.09,25.30,0.0,0.0,29.07,4.96,0.0,6.38,-,-,2023111104
Chikka_Bagur_5_MLD_STP,2023-11-11 04:00:00,7.59,27.20,4.37,8.7,46.50,5.0,15.4,10.00,-,-,2023111104
Yelahanka 10MLD TTP,2023-11-11 04:00:00,7.07,25.10,0.79,2.25,32.90,4.3,4.0,6.58,3.14,0.21,2023111104
40MLD OLD Rajacanal STP,2023-11-11 04:00:00,7.7,24.20,0.02,0.07,25.70,6.5,7.4,6.43,0.07,0.01,2023111104
Hennur 1MLD TTP,2023-11-10 21:30:00,7.46,26.80,1.61,2.41,20.10,2.3,4.9,5.01,4.05,0.32,2023111104
4_MLD_Madiwala_STP,2023-11-11 04:00:00,7.68,24.90,3.15,9.14,34.23,1.87,3.53,8.56,-,-,2023111104
150MLD STP_K&C valley,2023-11-11 04:00:00,7.95,-,2.14,4.22,-,9.64,8.5,-,-,0.70,2023111104
2MLD Ulsoor STP,2023-11-11 04:45:00,7.09,26.20,0.52,2.6,22.26,3.12,3.56,4.45,3.18,-,2023111105
CHIKKABANAVARA 5 MLD,2023-11-11 04:45:00,7.27,22.80,0.38,2.7,28.20,4.44,4.53,11.57,3.04,-,2023111105
KADUGODI 6 MLD STP,2023-11-11 04:45:00,7.69,27.60,1.1,4.63,41.77,10.66,10.72,39.69,5.50,-,2023111105
HORAMAVU 20 MLD,2023-11-11 05:00:00,7.69,27.90,0.95,2.8,37.72,7.92,9.34,5.12,3.80,-,2023111105
K AND C VALLEY 60 MLD,2023-11-11 04:45:00,6.72,26.90,0.64,4.0,37.45,10.18,10.6,9.67,5.31,-,2023111105
NAGASANDRA 20 MLD,2023-11-11 04:45:00,7.78,24.70,0.61,2.44,111.93,17.89,19.5,11.56,3.73,-,2023111105
RAJACANAL 40 MLD,2023-11-11 04:45:00,7.6,26.20,0.81,4.2,29.37,3.56,5.38,8.02,3.89,-,2023111105
YELLAMALAPACHETTY 15 MLD,2023-11-11 04:45:00,7.27,26.93,0.54,2.15,63.33,4.08,3.23,4.62,2.87,-,2023111105
BELLANDUR 90 MLD,2023-11-11 04:45:00,7.86,26.30,0.53,1.6,27.85,5.03,12.66,5.57,2.97,-,2023111105
DODDABELE 20 MLD,2023-11-11 04:45:00,7.06,26.20,0.79,2.9,39.02,6.44,6.76,10.83,4.24,-,2023111105
NAGASANDRA OLD 20 MLD,2023-11-11 04:45:00,8.36,18.10,0.2,0.3,561.08,0.0,568.29,0.00,4.38,-,2023111105
4MLD Cubbon Park TTP,2023-11-11 05:00:00,7.29,27.70,0.52,4.71,17.29,1.21,0.91,5.01,2.08,-,2023111105
KADABEESANAHALLI 50 MLD,2023-11-11 05:00:00,6.73,23.50,0.59,2.64,66.08,5.86,12.64,22.53,2.34,-,2023111105
STP Sarakki 5 MLD,2023-11-11 04:45:00,7.91,27.10,1.16,2.32,18.78,4.92,5.77,3.76,-,-,2023111105
Mailasandra STP 75 MLD,2023-11-11 05:00:00,7.47,22.40,7.88,14.18,49.25,13.58,19.14,12.50,-0.46,-,2023111105
60 MLD V.Valley TTP,2023-11-11 04:30:00,6.82,25.40,0.81,1.94,20.11,2.12,3.06,5.06,1.47,-,2023111105
KR Puram STP 20 MLD,2023-11-11 05:00:00,6.97,24.70,1.56,3.12,49.54,4.62,25.41,6.93,3.69,-,2023111105
1.5 MLD Lalbagh TTP,2023-11-01 12:45:00,7.37,32.50,0.56,2.75,18.38,1.57,1.39,-1.34,-0.90,-,2023111105
35MLD Agaram STP,2023-11-11 05:00:00,7.08,25.30,0.0,0.0,29.03,4.96,0.0,6.37,-,-,2023111105
Chikka_Bagur_5_MLD_STP,2023-11-11 05:00:00,7.68,27.10,4.5,9.0,46.00,5.2,14.8,10.40,-,-,2023111105
Yelahanka 10MLD TTP,2023-11-11 05:00:00,7.06,25.10,0.76,2.17,32.80,4.4,4.0,6.58,3.13,0.21,2023111105
40MLD OLD Rajacanal STP,2023-11-11 05:00:00,7.71,24.20,0.02,0.07,25.70,6.5,7.4,6.43,0.07,0.01,2023111105
Hennur 1MLD TTP,2023-11-10 21:30:00,7.46,26.80,1.61,2.41,20.10,2.3,4.9,5.01,4.05,0.32,2023111105
4_MLD_Madiwala_STP,2023-11-11 05:00:00,7.69,24.70,3.15,9.14,34.22,1.86,3.54,8.56,-,-,2023111105
150MLD STP_K&C valley,2023-11-11 04:55:00,7.98,-,2.14,4.22,-,9.64,8.5,-,-,0.70,2023111105
2MLD Ulsoor STP,2023-11-11 04:45:00,7.09,26.20,0.52,2.6,22.26,3.12,3.56,4.45,3.18,-,2023111106
CHIKKABANAVARA 5 MLD,2023-11-11 05:45:00,7.28,22.70,0.37,2.7,28.19,4.43,4.52,11.49,2.96,-,2023111106
